,event_id,cik,asset,economic_flows,none,neutral,negative,positive,reimbursement,name,event_type,begin_date,cpi_adjusted_cost
96,59,4447,1,0,0,0,1,0,0,North Central Severe Weather (July 1 2011),Severe Storm,2011-07-01,1243.2
97,75,4447,1,0,0,0,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
98,3,4457,1,1,0,0,1,0,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
99,4,4457,1,0,0,0,1,0,1,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
100,75,4457,1,0,1,1,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
101,138,4904,1,1,0,0,1,0,1,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
102,146,4904,1,0,0,0,1,0,0,Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,1726.2
103,162,4904,0,1,0,0,0,0,1,South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,1862.4
104,184,4904,0,1,0,0,1,0,0,Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,1300.8
105,188,4904,1,1,0,0,1,0,1,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,28090.3
106,190,4904,1,1,0,0,1,0,1,Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,3469.3
107,195,4904,1,1,1,1,1,1,1,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
108,197,4904,0,1,0,0,0,0,1,Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,1601.9
109,223,4904,1,1,0,0,1,0,1,Central Severe Weather (June 2022),Severe Storm,2022-06-07,2025.7
110,230,4904,0,1,0,0,1,1,1,Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,8951.7
111,237,4904,0,1,0,0,1,0,0,Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,2956.1
112,239,4904,0,1,0,0,0,0,1,Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,1401.9
113,246,4904,1,0,0,0,1,0,0,Southern Severe Weather (June 2023),Severe Storm,2023-06-11,4193.2
114,247,4904,1,0,0,0,1,0,0,Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,3918.7
115,26,4904,0,1,0,0,1,0,0,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2355.7
116,27,4904,1,1,0,1,1,0,1,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,1812.2
117,28,4904,1,1,0,0,1,0,1,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
118,284,4904,1,0,0,0,1,0,0,Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,78721.0
119,3,4904,0,1,1,0,1,0,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
120,30,4904,1,1,0,0,1,0,1,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
121,4,4904,1,0,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
122,43,4904,0,1,0,0,1,0,0,Oklahoma Kansas and Texas Tornadoes and Severe Weather (May 2010),Severe Storm,2010-05-10,4834.0
123,47,4904,0,1,0,0,1,0,0,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2565.7
124,65,4904,0,1,0,0,1,0,0,U.S. Drought/Heat Wave (2012),Drought,2012-01-01,41705.2
125,74,4904,0,1,0,0,1,0,0,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,3786.1
126,138,4962,0,1,0,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
127,62,4962,0,1,0,0,1,0,0,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,18756.7
128,3,4977,0,1,0,1,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
129,30,4977,0,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
130,4,4977,0,1,0,1,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
131,75,5117,1,0,0,0,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
132,103,5272,1,1,0,0,1,0,0,Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,3996.9
133,117,5272,1,1,0,0,1,0,0,Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,3137.5
134,134,5272,1,1,0,0,1,0,0,Western Wildfires California Firestorm (Summer-Fall 2017),Wildfire,2017-06-01,23226.5
135,138,5272,1,1,0,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
136,139,5272,1,1,0,0,1,0,0,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
137,140,5272,1,1,0,0,1,0,0,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,115200.0
138,147,5272,1,1,0,0,1,0,1,Western Wildfires California Firestorm (Summer-Fall 2018),Wildfire,2018-06-01,30000.0
139,155,5272,1,0,0,0,1,0,0,Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,30000.0
140,156,5272,1,1,0,0,1,0,0,Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,31218.8
141,166,5272,1,1,0,0,1,0,1,California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,5535.0
142,168,5272,1,1,0,0,1,0,0,Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,1980.3
143,17,5272,0,1,0,0,1,0,0,Western Wildfires (Summer 2007),Wildfire,2007-06-01,4139.4
144,170,5272,1,1,0,0,1,0,0,Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2113.1
145,176,5272,0,1,0,0,1,0,0,Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,4236.2
146,185,5272,1,1,0,0,1,1,0,Western Wildfires - California Oregon Washington Firestorms (Fall 2020),Wildfire,2020-08-01,19904.5
147,195,5272,0,1,0,0,1,0,0,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
148,202,5272,1,1,0,0,1,1,0,Western Wildfires (2021),Wildfire,2021-06-01,12064.0
149,21,5272,0,1,0,0,1,0,0,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,1805.3
150,216,5272,0,1,0,0,1,0,0,Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,3296.6
151,22,5272,0,1,0,0,1,0,0,Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,1673.9
152,23,5272,0,1,0,0,1,0,0,Midwest Flooding (Summer 2008),Flooding,2008-04-01,14838.0
153,230,5272,0,1,0,0,1,0,0,Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,8951.7
154,25,5272,0,1,0,0,1,0,0,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,4423.1
155,28,5272,0,1,0,0,1,0,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
156,3,5272,0,1,0,0,1,1,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
157,30,5272,0,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
158,4,5272,0,1,0,0,1,1,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
159,41,5272,0,1,0,0,1,0,0,Northeast Flooding (March 2010),Flooding,2010-03-01,2692.6
160,42,5272,0,1,0,0,1,0,0,East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,3308.8
161,45,5272,0,1,0,0,1,0,0,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,1375.1
162,46,5272,0,1,0,0,1,0,0,Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,5472.0
163,5,5272,0,1,0,0,0,1,0,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,30020.0
164,50,5272,0,1,0,0,1,0,0,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,3885.3
165,51,5272,0,1,0,0,1,0,0,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,3051.0
166,52,5272,0,1,0,0,1,0,0,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2882.9
167,54,5272,0,1,0,0,1,0,0,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,14310.7
168,56,5272,0,1,0,0,1,0,0,Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,12735.6
169,58,5272,0,1,0,0,1,0,0,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2152.3
170,6,5272,0,1,0,0,1,0,0,Numerous Wildfires (2006),Wildfire,2006-01-01,2332.8
171,61,5272,0,1,0,0,1,0,0,Midwest/Southeast Severe Weather (August 17-18 2011),Severe Storm,2011-08-17,1600.4
172,62,5272,0,1,0,0,1,0,0,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,18756.7
173,65,5272,0,1,0,0,1,0,0,U.S. Drought/Heat Wave (2012),Drought,2012-01-01,41705.2
174,74,5272,0,1,0,0,1,0,0,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,3786.1
175,75,5272,1,1,1,0,1,1,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
176,3,5513,0,1,0,0,1,1,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
177,30,5513,0,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
178,4,5513,0,1,0,0,1,0,1,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
179,138,5981,0,1,0,0,1,1,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
180,139,5981,0,1,0,0,1,1,0,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
181,140,5981,0,1,0,0,0,1,0,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,115200.0
182,158,5981,0,1,0,0,1,0,0,Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,13408.9
183,159,5981,0,1,0,0,1,0,0,Mississippi River Midwest and Southern Flooding (July 2019),Flooding,2019-03-15,7649.6
184,163,5981,0,1,0,0,1,0,0,Central Severe Weather (May 2019),Severe Storm,2019-05-16,1196.9
185,182,5981,0,1,0,0,1,0,0,Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,5439.1
186,184,5981,0,1,0,0,1,0,0,Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,1300.8
187,188,5981,0,1,0,0,1,0,0,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,28090.3
188,19,5981,0,1,0,0,0,1,0,U.S. Drought (2008),Drought,2008-01-01,10444.7
189,193,5981,0,1,0,0,1,1,0,Western Drought and Heat Wave (2021),Drought,2021-01-01,10201.9
190,213,5981,0,1,0,0,1,1,0,Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,23480.6
191,228,5981,0,1,0,0,1,1,0,Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,119626.0
192,30,5981,0,1,0,0,0,1,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
193,48,5981,0,1,0,0,1,1,0,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,17109.5
194,65,5981,0,1,1,0,1,1,0,U.S. Drought/Heat Wave (2012),Drought,2012-01-01,41705.2
195,86,5981,0,1,0,1,0,0,0,Western Drought (2014),Drought,2014-01-01,5334.8
196,96,5981,0,1,0,0,0,1,0,Western Drought (2015),Drought,2015-01-01,6029.3
197,75,6176,1,0,0,0,0,0,1,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
198,138,6201,0,1,0,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
199,139,6201,0,1,0,0,1,0,0,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
200,140,6201,0,1,0,0,1,0,0,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,115200.0
201,155,6201,0,1,0,0,1,0,0,Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,30000.0
202,168,6201,0,1,0,0,1,0,0,Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,1980.3
203,47,6201,0,1,0,0,1,0,0,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2565.7
204,62,6201,0,1,0,0,1,0,0,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,18756.7
205,67,6201,1,0,0,0,1,0,0,Texas Tornadoes (April 2012),Severe Storm,2012-04-02,1390.9
206,74,6201,0,1,0,0,1,0,0,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,3786.1
207,75,6201,1,1,0,1,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
208,91,6201,0,1,0,0,1,0,0,Center Severe Weather (May 2014),Severe Storm,2014-05-10,1134.5
209,97,6201,0,1,0,0,1,0,0,Central and Eastern Winter storm Cold Wave (February 2015),Winter Storm,2015-02-14,3969.3
210,99,6201,0,1,0,0,1,0,0,South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,1707.6
211,185,6281,1,0,0,0,1,0,0,Western Wildfires - California Oregon Washington Firestorms (Fall 2020),Wildfire,2020-08-01,19904.5
212,202,6281,1,0,0,0,1,0,0,Western Wildfires (2021),Wildfire,2021-06-01,12064.0
213,216,6281,1,0,0,0,1,0,0,Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,3296.6
214,138,6769,1,0,0,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
215,195,6769,0,1,0,0,1,1,0,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
216,2,6769,1,0,0,0,1,0,0,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,4017.0
217,27,6769,1,0,0,0,1,0,0,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,1812.2
218,28,6769,1,1,1,0,1,0,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
219,3,6769,1,1,0,0,1,0,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
220,30,6769,1,1,1,1,1,1,1,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
221,4,6769,1,1,0,0,1,1,1,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
222,74,6769,0,1,0,0,1,0,0,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,3786.1
223,139,6845,0,1,0,0,1,0,0,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
224,138,6885,1,1,0,0,1,0,1,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
225,139,6885,1,0,0,0,1,0,0,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
226,28,6885,1,1,0,0,1,0,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
227,3,6885,1,1,0,0,1,1,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
228,30,6885,1,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
229,4,6885,1,1,1,1,1,1,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
230,43,6885,1,0,0,0,1,0,0,Oklahoma Kansas and Texas Tornadoes and Severe Weather (May 2010),Severe Storm,2010-05-10,4834.0
231,75,6885,1,0,0,1,0,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
232,138,7039,1,1,1,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
233,139,7039,1,1,0,0,1,0,0,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
234,140,7039,1,1,0,0,1,0,0,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,115200.0
235,195,7039,1,1,0,1,1,0,1,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
