,Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Event Duration,Event ID,Summary
21,Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,1805.3,1211.6,57.0,1,21,"Series of tornadoes and severe thunderstorms across the Southeast and Midwest states (AL, AR, IN, KY, MS, OH, TN, TX) with 87 tornadoes confirmed."
22,Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,1673.9,1131.0,5.0,1,22,Tornadoes and severe weather across Georgia and South Carolina. This includes an EF-2 tornado causing damage to numerous buildings in downtown Atlanta.
23,Midwest Flooding (Summer 2008),Flooding,2008-04-01,2008-06-30,14838.0,9958.4,24.0,90,23,"Heavy rain and flooding caused significant agricultural loss and property damage in IA, IL, IN, MO, MN, NE, and WI with IA being hardest hit with widespread rainfall totals ranging from 4 to over 16 inches."
24,Southern Severe Weather (April 2008),Severe Storm,2008-04-09,2008-04-11,1528.3,1039.6,2.0,2,24,"Severe storms affect Arkansas, Oklahoma and Texas across the South."
25,Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,2008-05-27,4423.1,3029.5,13.0,5,25,"Outbreak of tornadoes over the Midwest/Ohio Valley regions (IL, IN, IA, KS, MN, NE, OK, WY, CO) with 235 tornadoes confirmed."
26,Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2008-06-12,2355.7,1635.9,18.0,6,26,"An outbreak of tornadoes and thunderstorms over the Midwest/Mid-Atlantic states (IA, IL, IN, KS, NE, MI, MN, MO, OK, WI, MD, VA, WV)."
27,Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,1812.2,1267.3,3.0,2,27,Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.
28,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,8635.7,5997.0,53.0,3,28,"Category 2 hurricane makes landfall in Louisiana causing significant wind, storm surge, and flooding damage in AL, AR, LA, and MS."
29,U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,2008-11-30,1777.0,1234.0,16.0,90,29,"Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone."
30,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,43198.4,29998.8,112.0,2,30,"Category 2 hurricane makes landfall in Texas, as the largest (in size) Atlantic hurricane on record, causing considerable storm surge in coastal TX and significant wind and flooding damage in TX, LA, AR, TN, IL, IN, KY, MO, OH, MI and PA. Severe gasoline shortages occurred in the southeast U.S. due to damaged oil platforms, storage tanks, pipelines and off-line refineries."
31,Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,5203.2,3492.0,0.0,364,31,"Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA."
32,Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,2592.9,1740.2,10.0,1,32,"Complex of severe thunderstorms and high winds across the region (TN, KY, OK, OH, VA, WV, PA)."
33,Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,2427.9,1640.5,0.0,3,33,"Outbreak of tornadoes over central and southern states (NE, KS, OK, IA, TX, LA, MS, AL, GA, TN, KY) with 56 tornadoes confirmed."
34,South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,2116.4,1430.1,6.0,1,34,"Outbreak of tornadoes, hail and severe thunderstorms over the south and southeastern states (AL, AR, GA, KY, MO, SC, TN) with 85 confirmed tornadoes."
35,Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,1274.2,861.0,7.0,2,35,"More than 50 tornadoes and large hail from severe storms caused damage across many southeastern states (IL, KS, KY, MO, TN, TX)."
36,Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,1477.4,1011.9,10.0,182,36,"Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National wildfire acreage burned exceeds 5.9 million acres. Over 200 homes and structures destroyed in the California ""Station"" fire alone."
37,Midwest South and East Severe Weather (June 2009),Severe Storm,2009-06-09,2009-06-12,1939.0,1328.1,0.0,3,37,"Sustained outbreak of thunderstorms and high winds from a strong derecho event over the central, southern, and eastern states (TX, OK, MO, NE, KS, AR, AL, MS, TN, NC, SC, KY, PA)."
38,Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,1470.0,1000.0,0.0,0,38,"Severe hail impacts Colorado. Jefferson County was most affected with hail at least 8 inches deep. The hail damage from this storm was comparable to the July 11, 1990 Colorado hail storm."
39,Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,1311.8,898.5,10.0,3,39,"Severe multi-day flooding across numerous Georgia counties including all of the Atlanta metro. The maximum 24-hour rainfall total for September 20-21, 2009 was 21.03 inches in Douglas County. This extreme rainfall caused widespread flooding and damage to thousands of homes, businesses and vehicles. There was significant infrastructure damage across the region from this major flooding event including 20 river gages that went underwater and stopped reporting."
40,Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,1192.8,817.0,3.0,2,40,"Winter storm produced 10-20 inches of snow and high wind impacts across numerous northeastern and eastern states including Pennsylvania, Maryland, Delaware, New Jersey, West Virginia, Virginia and North Carolina. These impacts were most focused in Pennsylvania and Maryland, as this winter storm closely followed a previous winter storm from the week prior."
41,Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,2692.6,1844.2,11.0,30,41,"Heavy rainfall over portions of the Northeast in late March caused extensive flooding across several states (RI, CT, MA, NJ, NY, PA). The event caused the worst flooding in Rhode Island's history."
42,East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,3308.8,2266.3,32.0,2,42,"Flooding, hail, tornadoes, and severe thunderstorms occurred across many Southern states (TN, AR, KY, GA) on April 30-May 2. Flooding in the Nashville, TN area alone contributed > $1.0 ($1.5) billion in damages. Western and Middle Tennessee were hardest hit with local rainfall amounts of 18-20 inches to the south and west of Greater Nashville."
43,Oklahoma Kansas and Texas Tornadoes and Severe Weather (May 2010),Severe Storm,2010-05-10,2010-05-12,4834.0,3333.8,3.0,2,43,"An outbreak of tornadoes, hail, and severe thunderstorms occurred across Oklahoma, Kansas, and Texas in mid-May. Oklahoma was hardest hit with > $1.5 ($2.2) billion in damages."
44,Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,1306.7,901.0,2.0,5,44,"Severe storms cause high wind and hail damage across numerous states including CO, NM, KS, OK, IL, IN, GA, SC and NC."
45,Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,1375.1,948.3,0.0,3,45,"Severe storms and flooding affect the states IA, IL, MD, NY, PA, WI across the Midwest and Northeast."
46,Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,5472.0,3800.0,0.0,1,46,"An unusual series of severe thunderstorms across Arizona produced numerous tornadoes and widespread, severe hail damage. Over one-hundred buildings were damaged or destroyed by tornadoes while thousands of automobiles and buildings were damaged by large hail across Phoenix and surrounding cities."
47,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,2565.7,1794.2,36.0,2,47,"A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area."
48,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,17109.5,11964.8,95.0,183,48,"Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season."
49,Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,4270.1,2986.0,7.0,60,49,"Persistent rainfall (nearly 300 percent normal precipitation amounts in the Ohio Valley) combined with melting snowpack caused historical flooding along the Mississippi River and its tributaries. Examples of economic damage include: $500 ($715.0) million to agriculture in Arkansas; $320 ($457.6) million in damage to Memphis, Tennessee; $800 million ($1.1 billion)  to agriculture in Mississippi; $317 ($453.3) million to agriculture and property in Missouri's Birds Point-New Madrid Spillway; $80 ($114.4) million for the first 30 days of flood fighting efforts in Louisiana."
50,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,3885.3,2775.2,9.0,1,50,"Outbreak of tornadoes and derecho over central and southern states (KS, MO, IA, IL, WI, KY, GA, TN, NC, SC) with an estimated 46 tornadoes."
51,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,3051.0,2179.3,0.0,3,51,"Outbreak of tornadoes over central and southern states (NC, SC, TN, AL, TX, OK, KS, IA, WI) with an estimated 59 tornadoes."
52,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,2882.9,2059.2,38.0,2,52,"Outbreak of tornadoes over central and southern states (OK, TX, AR, MS, AL, GA, NC, SC, VA, PA) with an estimated 177 tornadoes."
53,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,1452.8,1037.5,0.0,1,53,"Dozens of tornadoes and a derecho affect numerous states (AR, IL, IN, KY, MO, OH, TN, TX) across the Ohio Valley and South."
54,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,14310.7,10222.0,321.0,3,54,"Outbreak of tornadoes over central and southern states (AL, AR, LA, MS, GA, TN, VA, KY, IL, MO, OH, TX, OK) with an estimated 343 tornadoes. The deadliest tornado of the outbreak, an EF-5, hit northern Alabama, killing 78 people. Several major metropolitan areas were directly impacted by strong tornadoes including Tuscaloosa, Birmingham, and Huntsville in Alabama and Chattanooga, Tennessee, causing the estimated damage costs to soar.More Info…"
55,Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,2863.3,2002.3,5.0,60,55,"Melting of an above-average snow pack across the Northern Rocky Mountains combined with above-average precipitation caused the Missouri and Souris Rivers to swell beyond their banks across the Upper Midwest (MT, ND, SD, NE, IA, KS, MO). An estimated 11,000 people were forced to evacuate Minot, North Dakota due to the record high water level of the Souris River, where 4,000 homes were flooded. Numerous levees were breached along the Missouri River, flooding thousands of acres of farmland."
56,Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,12735.6,9096.8,177.0,5,56,"Outbreak of tornadoes over central and southern states (MO, TX, OK, KS, AR, GA, TN, VA, KY, IN, IL, OH, WI, MN, PA) with an estimated 180 tornadoes. Notably, an EF-5 tornado struck Joplin, MO resulting in at least 160 deaths, making it the deadliest single tornado to strike the U.S. since modern tornado record keeping began in 1950."
57,Texas New Mexico Arizona Wildfires (Summer-Fall 2011),Wildfire,2011-06-01,2011-11-30,2549.1,1820.8,5.0,182,57,"Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season."
58,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,2152.3,1537.3,3.0,4,58,"Outbreak of tornadoes over central states (OK, TX, KS, NE, MO, IA, IL) with an estimated 81 tornadoes. Additional wind and hail damage across the Southeast (TN, GA, NC, SC)."
59,North Central Severe Weather (July 1 2011),Severe Storm,2011-07-01,2011-07-01,1243.2,888.0,0.0,0,59,"Severe weather causes damage across several north central states. The regions most impacted were southern Minnesota, western Wisconsin and northern Illinois."
60,Rockies and Midwest Derecho (July 10-11 2011),Severe Storm,2011-07-10,2011-07-11,1729.1,1235.0,2.0,1,60,"A derecho produced a wide swatch of high wind damage beginning east of the Rockies and across the central plains (CO, IA, IL, MI, MN, OH)."
61,Midwest/Southeast Severe Weather (August 17-18 2011),Severe Storm,2011-08-17,2011-08-18,1600.4,1151.4,0.0,1,61,"Severe weather impacts the states IA, KS, MO, NE, SD across the Midwest and Southeast."
62,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,18756.7,13494.0,45.0,2,62,"Category 1 hurricane made landfall over coastal NC and moved northward along the Mid-Atlantic Coast (NC, VA, MD, NJ, NY, CT, RI, MA, VT) causing torrential rainfall and flooding across the Northeast. Wind damage in coastal NC, VA, and MD was moderate with considerable damage resulting from falling trees and power lines, while flooding caused extensive flood damage across NJ, NY, and VT. Over seven million homes and businesses lost power during the storm. Numerous tornadoes were also reported in several states further adding to the damage."
63,Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,3492.4,2512.5,21.0,4,63,"Wind and flood damage across the southeast (LA, MS, AL, GA, TN) but considerably more damage from record flooding across the northeast (PA, NY, NJ, CT, VA, MD). Pennsylvania and New York were most affected."
64,Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,1285.8,925.0,1.0,1,64,"Winter storm impacts northeastern states including Connecticut, Massachusetts, New Hamsphire, New York, New Jersey and Pennsylvania."
65,U.S. Drought/Heat Wave (2012),Drought,2012-01-01,2012-12-31,41705.2,30003.6,123.0,365,65,"The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heat wave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown."
66,Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,4317.9,3128.8,42.0,1,66,"Outbreak of tornadoes and severe weather over the southeast and Ohio Valley (AL, GA, IN, OH, KY, TN) with 75 confirmed tornadoes."
67,Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,1390.9,1015.3,0.0,1,67,Outbreak of tornadoes across the greater Dallas-Ft. Worth metropolitan area. Several moderate strength tornadoes (EF-2 and EF-3) affected towns in this area with a total of 22 confirmed tornadoes.
68,Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,1539.4,1123.6,6.0,1,68,"Outbreak of tornadoes and severe weather over the midwest (OK, KS, NE, IA) with 98 confirmed tornadoes including many tornadoes that remained on the ground for an extended time - traveling tens of miles."
69,Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,4488.6,3276.3,1.0,3,69,"Severe weather over the midwest and Ohio Valley (TX, OK, KS, MO, IL, IN, KY) with 38 confirmed tornadoes. Considerable damage resulting from hail."
70,Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,3156.1,2303.7,1.0,5,70,"Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds."
71,Western Wildfires (Summer-Fall 2012),Wildfire,2012-06-01,2012-11-30,2381.7,1738.5,8.0,182,71,"Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed."
72,Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,3559.0,2597.8,0.0,6,72,"Severe storms and damaging hail over several states (CO, NM, TX) with 25 confirmed tornadoes. Colorado experienced over $1.0 ($1.4) billion in damage due to hail."
73,Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,3957.0,2888.4,28.0,3,73,"Sustained outbreak of thunderstorms/high winds from a strong derecho event over the central, eastern, and northeastern states (IL, IN, KY, OH, WV, SC, NC, VA, MD, DC, NJ)."
74,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,3786.1,2763.5,9.0,5,74,"Category 1 hurricane made landfall over Louisiana. Isaac's slow motion and large size led to a large storm surge and flooding rains. This created damage across several southeastern states (LA, MS, AL, FL) including 9 deaths (5 direct, 4 indirect)."
75,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,88453.9,65039.6,159.0,1,75,"Extensive damage across several northeastern states (MD, DE, NJ, NY, CT, MA, RI) due to high wind and coastal storm surge, particularly NY and NJ. Damage from wind, rain and heavy snow also extended more broadly to other states (NC, VA, WV, OH, PA, NH), as Sandy merged with a developing Nor'easter. Sandy's impact on major population centers caused widespread interruption to critical water/electrical services and also caused 159 deaths (72 direct, 87 indirect). Sandy also caused the New York Stock Exchange to close for two consecutive business days, which last happened in 1888 due to a major winter storm."
76,Southern Severe Weather (February 2013),Severe Storm,2013-02-24,2013-02-25,1253.9,922.0,1.0,1,76,"Severe weather produced severe hail and wind damage across several southern states including Louisiana, Oklahoma and Texas. The damage was most focused in Louisiana near New Orleans, as severe hail caused significant damage costs to many homes, vehicles and businesses."
77,Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013-03-01,2013-11-30,14283.6,10425.9,53.0,274,77,"The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses    across the central agriculture states."
78,Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,2747.2,2020.0,1.0,0,78,"Severe weather over the Southeast (MS, AL, GA, TN) with 10 confirmed tornadoes. Considerable damage resulting from large hail and straight-line wind."
79,Midwest/Plains Severe Weather (April 2013),Severe Storm,2013-04-07,2013-04-11,1963.8,1444.0,1.0,4,79,"Severe weather across the Midwest and Plains states (IN, KS, MO, NE) with a total of 26 confirmed tornadoes. Considerable damage resulting from hail and straight-line wind."
80,Illinois Flooding and Severe Weather (April 2013),Flooding,2013-04-16,2013-04-19,1464.7,1077.0,4.0,3,80,A slow-moving storm system created rainfall totals of 5 to 10 inches across northern and central Illinois including the Chicago metro. This resulted in damage to many homes and businesses. There was also severe weather damage from wind and hail across Indiana and Missouri.
81,Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013-05-18,2013-05-22,3240.5,2400.3,27.0,4,81,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time."
82,Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013-05-27,2013-05-31,2448.4,1813.5,10.0,4,82,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind."
83,Midwest Severe Weather (August 2013),Severe Storm,2013-08-06,2013-08-07,1406.7,1041.9,0.0,1,83,Severe weather and large hail causes considerable damage across Minnesota and Wisconsin.
84,Colorado Flooding (September 2013),Flooding,2013-09-10,2013-09-16,2036.5,1508.5,9.0,6,84,"A stalled frontal boundary over Colorado led to record rainfall, as some areas received > 15 inches over several days. This resulted in historic flooding across numerous cities and towns. Destruction of residences, businesses and transportation infrastructure was widespread."
85,Ohio Valley Tornadoes (November 2013),Severe Storm,2013-11-17,2013-11-17,1472.2,1090.6,8.0,0,85,"Late-season outbreak of tornadoes and severe weather over the Ohio Valley (IL, IN, KY, MI, MO, OH) with 70 confirmed tornadoes. Most severe impacts occurred across Illinois and Indiana."
86,Western Drought (2014),Drought,2014-01-01,2014-12-31,5334.8,3951.7,0.0,364,86,"Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years."
87,Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014-01-05,2014-01-08,2933.4,2172.7,16.0,3,87,"Winter storm caused widespread damage across numerous Midwest, Southeast and Northeastern states (AL, GA, IL, IN, KY, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA)."
88,Plains Severe Weather (April 2014),Severe Storm,2014-04-02,2014-04-03,1908.1,1424.0,0.0,1,88,"Severe storms across the Plains states (IL, KS, MO, TX) causing considerable hail and wind damage in Texas."
89,Central Severe Weather (April 2014),Severe Storm,2014-04-12,2014-04-13,1221.1,918.0,0.0,1,89,"Severe weather produced hail and high wind damage across several central states including Illinois, Iowa, Michigan, Wisconsin and Texas. The damage was most focused in Illinois and Michigan, as storms caused impacts to many homes, vehicles and businesses."
